datapoint,description,source
security_id,Random 6-character security identifier.,methbooks/mock_universe.py
weight,Initial weight from base universe normalised to sum to 1.,methbooks/mock_universe.py
full_market_cap_usd,Full company market capitalization in USD aggregating all listed and unlisted security lines.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.3 Equity Universe Minimum Size Requirement"""
ff_adjusted_mcap_usd,Free float-adjusted market capitalization after FIF foreign room adjustment factor and Liquidity Adjustment Factor.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""Appendix VI: Free Float Definition and Estimation Guidelines"""
fif,Foreign Inclusion Factor: proportion of shares outstanding available to international investors.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.6 Global Minimum Foreign Inclusion Factor Requirement"""
atvr_12m_pct,12-month Annual Traded Value Ratio as a percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.5 DM and EM Minimum Liquidity Requirement"""
atvr_3m_pct,3-month Annual Traded Value Ratio as a percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.5 DM and EM Minimum Liquidity Requirement"""
freq_of_trading_3m_pct,3-month Frequency of Trading as a percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.5 DM and EM Minimum Liquidity Requirement"""
freq_of_trading_12m_pct,12-month Frequency of Trading as a percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""4.1.3 Micro Cap Minimum Liquidity Requirement"""
foreign_room_pct,Proportion of shares still available to foreign investors relative to the FOL maximum; null when has_fol_flag=False.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.8 Minimum Foreign Room Requirement"""
has_fol_flag,True if the security is subject to a Foreign Ownership Limit.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.8 Minimum Foreign Room Requirement"""
market_type,Market classification of the security's country (DM/EM/FM/Standalone/China).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""Appendix II: Market Classification Framework"""
gics_sub_industry,GICS Sub-Industry code assigned to the security.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.5.3 GICS-Based Indexes"""
is_existing_imi_constituent,True if the security is an existing constituent of the Investable Market Index prior to the current review.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.2 Updating the Market Investable Equity Universes"""
security_type,Type of security; ETFs and mutual funds are ineligible.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.1.1 Identifying Eligible Equity Securities"""
alert_board_flag,True if the security is listed on an exchange ineligible alert/watch board.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""Appendix I: Ineligible Alert Boards"""
months_since_first_trading,Number of months elapsed since the security's first day of trading.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.7 Minimum Length of Trading Requirement"""
is_large_ipo_flag,True if the IPO or primary/secondary offering exceeds the large-IPO size threshold.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.2.7 Early Inclusions of Non-Index Constituents and IPOs"""
stock_price_usd,Current stock price in USD; non-constituents above USD 10000 fail liquidity screening.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.5 DM and EM Minimum Liquidity Requirement"""
preferred_share_flag,True if the security is a preferred share.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.1.1 Identifying Eligible Equity Securities"""
fixed_dividend_flag,True if the preferred share has a fixed dividend entitlement.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.1.1 Identifying Eligible Equity Securities"""
par_value_liquidation_flag,True if the preferred share has a liquidation claim limited to par value.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.1.1 Identifying Eligible Equity Securities"""
fm_liquidity_category,Liquidity category assigned to the Frontier Market (very_low/low/average).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""5.2.3.1 Categorization of Frontier Markets into very low low or average liquidity markets"""
current_adjustment_factor,Current foreign room adjustment factor applied to FIF (1/0.5/0.25/0.0).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.6.2 For Existing Constituents"""
light_rebalancing_flag,True when MSCI has declared a Light Rebalancing under Market Stress conditions per Appendix VIII.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""Appendix VIII: Market Monitoring Framework and Potential Switch to a Light Rebalancing under Conditions of Market Stress"""
china_suspension_flag,True if a China A share security was suspended on the Price Cutoff Date.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.5 DM and EM Minimum Liquidity Requirement"""
equity_universe_min_size_usd,Equity Universe Minimum Size Requirement in USD derived from 99% cumulative ff-adjusted DM coverage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.3 Equity Universe Minimum Size Requirement"""
imi_market_size_segment_cutoff_usd,IMI market size-segment cutoff in USD used to bound Micro Cap eligibility.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""4.1.1 Micro Cap Maximum Size Requirement"""
micro_cap_min_size_usd,Micro Cap Minimum Size Requirement in USD derived from 99.8% DM Equity Universe coverage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""4.1.2 Micro Cap Minimum Size Requirement"""
full_security_market_cap_usd,Full market capitalization of the individual security line in USD.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""4.1.2 Micro Cap Minimum Size Requirement"""
atvr_3m_available_flag,True if 3-month ATVR data is available for the security.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""4.1.3 Micro Cap Minimum Liquidity Requirement"""
country_classification,Country of classification for the security (e.g. US CA GB).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.9 Financial Reporting Requirement"""
has_filed_10k_10q,True if the US-classified company has filed Form 10-K or 10-Q.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.2.9 Financial Reporting Requirement"""
excess_return_5d_pct,5-day excess return as a percentage for extreme price increase monitoring.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.3.6.3 Treatment of Securities that Exhibit Extreme Price Increase"""
excess_return_10d_pct,10-day excess return as a percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.3.6.3 Treatment of Securities that Exhibit Extreme Price Increase"""
excess_return_15d_pct,15-day excess return as a percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.3.6.3 Treatment of Securities that Exhibit Extreme Price Increase"""
is_standard_index_constituent,True if the security is an existing constituent of the Standard Index prior to the current review.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""2.4 Index Continuity Rules"""
cumulative_ff_mcap_coverage_pct,Cumulative ff-adjusted market cap coverage as a percentage ranked by descending ff-adjusted mcap.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.2.2 Updating the Equity Universe Minimum Size Requirement"""
prior_reference_rank,Rank of the security at prior reference point for equity universe minimum size reset (1 = reference company).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.2.2 Updating the Equity Universe Minimum Size Requirement"""
global_min_size_range_lower_usd,Lower bound of the Global Minimum Size Range in USD (0.5x Global Minimum Size Reference).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.4.2 Changes in the Segment Number of Companies"""
free_float_pct,Current free float percentage of the security.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.7 Index Review of Changes in Foreign Inclusion Factors (FIFs)"""
current_dif_pct,Current Developed Index Float percentage.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.7 Index Review of Changes in Foreign Inclusion Factors (FIFs)"""
updated_free_float_pct,Updated free float percentage as of Price Cutoff Date.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.7 Index Review of Changes in Foreign Inclusion Factors (FIFs)"""
current_nos,Current number of shares outstanding.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.8 Index Review of Changes in Number of Shares (NOS)"""
updated_nos,Updated number of shares outstanding as of Price Cutoff Date.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.8 Index Review of Changes in Number of Shares (NOS)"""
country_weight_pct,Security weight as a percentage of its country index.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.1.2.4 Minimum Liquidity Requirement for Existing Constituents"""
prior_micro_cap_reference_rank,Rank of the security at prior reference point for Micro Cap minimum size reset (1 = reference company).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""4.2.1.1 Updating the Micro Cap Minimum Size Requirement"""
reclassification_effective_date,Effective date of the GICS reclassification.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.3.2 Global Industry Classification Standard (GICS)"""
review_effective_date,Effective date of the Index Review (close of last business day of Feb/May/Aug/Nov).,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.3 Announcement Policy"""
announcement_date,Date on which Index Review results are publicly announced.,"meth-pipeline/MSCI_Global_Investable_Market_Indexes_Methodology_20260331/2026-04-24T07-46-35Z/input/markdown.md section ""3.3 Announcement Policy"""
